Comment,Designator,Footprint,Quantity,Part Number
0.1uF,C5,Ceramic capacitor (0603),1,C14663
0.1uF,C8,Ceramic capacitor (0805),1,C519981
3.3uF,L1,IND-SMD_L7.3-W6.6,1,C128687
10K,"R1, R2",Resistor (0603),2,C191124
10K,R5,Resistor (0402),1,C427247
10K,R7,Resistor (0603),1,C136139
10K,R9,Resistor (0603),1,C130232
10uF,"C6, C7",Ceramic capacitor (0805),2,C15850
22R,"R3, R4, R6",Resistor (0402),3,C25092
22uF,"C9, C10",Ceramic capacitor (0805),2,C296720
33pF,"C2, C3, C4",Ceramic capacitor (0402),3,C107005
54.9K,R8,Resistor (0603),1,C185321
100nF,C1,Ceramic capacitor (0402),1,C1525
9774025151R,"CN1, CN2",SMD-1_BD5.1-D3.5,2,C7496631
B6B-XH-A(LF)(SN),P6,CONN-TH_6P-P2.50_B6B-XH-A-LF-SN,1,C144397
B7B-XH-A(LF)(SN),P5,CONN-TH_7P-P2.50_B7B-XH-A-LF-SN,1,C144398
KF127-5.08-2P,P7,CONN-TH_P5.08_KF127-5.08-2P,1,C474906
KH-2.54FH-1X15P-H8.5,"P3, P4",HDR-TH_15P-P2.54-V-F,2,C2932676
MDT420E01001,J1,CONN-SMD_67P-P0.50_TE_2199119-6,1,C4529147
"PESD5V0L5UV,115",D1,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-TL,1,C84255
SF72S006VBDR2500,J2,NANO-SIM-SMD_SMN-315-ARP7,1,C2977286
SS54(SMB),D2,FP_SS54(SMB),1,C4154972
TPS563201DDCR,U5,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,C116592
